DCC ORIGINE,DCC DESTINATION,NOMBRE
09-DCC-10,09-DCC-04,1
09-DCC-24,09-DCC-04,4
09-DCC-24,09-DCC-06,2
09-DCC-24,09-DCC-10,3
09-DCC-25,09-DCC-01,1
09-DCC-25,09-DCC-05,1
09-DCC-27,09-DCC-04,4
09-DCC-27,09-DCC-06,1
09-DCC-27,09-DCC-10,1
09-DCC-29,09-DCC-16,1
09-DCC-33,09-DCC-18,1
09-DCC-33,09-DCC-19,4
09-DCC-38,09-DCC-37,8
09-DCC-42,09-DCC-31,3
09-DCC-46,09-DCC-04,5
09-DCC-46,09-DCC-06,5
09-DCC-46,09-DCC-10,5
09-DCC-46,09-DCC-24,5
09-DCC-46,09-DCC-27,5
09-DCC-47,09-DCC-01,1
09-DCC-47,09-DCC-05,1
09-DCC-47,09-DCC-25,1
09-DCC-56,09-DCC-04,1
09-DCC-56,09-DCC-06,1
09-DCC-56,09-DCC-24,1
09-DCC-58,09-DCC-48,1
09-DCC-58,09-DCC-48,1
09-DCC-62,09-DCC-12,2
09-DCC-64,09-DCC-04,1
09-DCC-64,09-DCC-06,1
09-DCC-64,09-DCC-24,1
09-DCC-65,09-DCC-35,3
09-DCC-66,09-DCC-04,1
09-DCC-66,09-DCC-06,1
09-DCC-66,09-DCC-24,1
09-DCC-69,09-DCC-04,1
09-DCC-69,09-DCC-06,1
09-DCC-69,09-DCC-24,1
09-DCC-70,09-DCC-04,1
09-DCC-70,09-DCC-06,1
09-DCC-70,09-DCC-24,1
09-DCC-75,09-DCC-01,1
09-DCC-75,09-DCC-05,1
09-DCC-75,09-DCC-25,1
09-DCC-76,09-DCC-04,1
09-DCC-76,09-DCC-06,1
09-DCC-76,09-DCC-24,1
09-DCC-78,09-DCC-01,1
09-DCC-78,09-DCC-05,1
09-DCC-78,09-DCC-25,1
09-DCC-80,09-DCC-04,1
09-DCC-80,09-DCC-06,1
09-DCC-80,09-DCC-24,1
09-DCC-82,09-DCC-04,1
09-DCC-82,09-DCC-06,1
09-DCC-82,09-DCC-24,1
09-DCC-83,09-DCC-04,1
09-DCC-83,09-DCC-06,1
09-DCC-83,09-DCC-24,1
09-DCC-84,09-DCC-126,1
09-DCC-84,09-DCC-15,2
09-DCC-85,09-DCC-04,1
09-DCC-85,09-DCC-06,1
09-DCC-85,09-DCC-24,1
09-DCC-86,09-DCC-16,3
09-DCC-87,09-DCC-01,1
09-DCC-87,09-DCC-05,1
09-DCC-87,09-DCC-25,1
09-DCC-87,09-DCC-47,1
09-DCC-88,09-DCC-01,1
09-DCC-88,09-DCC-05,1
09-DCC-88,09-DCC-25,1
09-DCC-88,09-DCC-47,1
09-DCC-90,09-DCC-37,5
09-DCC-90,09-DCC-38,8
09-DCC-91,09-DCC-42,1
09-DCC-91,09-DCC-67,1
09-DCC-92,09-DCC-01,1
09-DCC-92,09-DCC-05,1
09-DCC-92,09-DCC-25,1
09-DCC-94,09-DCC-57,1
09-DCC-94,09-DCC-59,2
09-DCC-94,09-DCC-60,1
10-DCC-01,09-DCC-04,1
10-DCC-01,09-DCC-27,1
10-DCC-03,09-DCC-11,2
10-DCC-04,09-DCC-04,1
10-DCC-04,09-DCC-06,1
10-DCC-04,09-DCC-24,1
10-DCC-05,09-DCC-43,2
10-DCC-06,09-DCC-38,2
10-DCC-07,09-DCC-04,1
10-DCC-07,09-DCC-06,1
10-DCC-07,09-DCC-24,1
10-DCC-08,09-DCC-06,1
10-DCC-08,09-DCC-24,1
10-DCC-09,09-DCC-04,2
10-DCC-09,09-DCC-06,1
10-DCC-09,09-DCC-24,1
10-DCC-10,09-DCC-04,1
10-DCC-10,09-DCC-06,1
10-DCC-10,09-DCC-24,1
10-DCC-101,09-DCC-04,1
10-DCC-101,09-DCC-06,1
10-DCC-101,09-DCC-10,1
10-DCC-101,09-DCC-24,1
10-DCC-102,09-DCC-04,1
10-DCC-102,09-DCC-06,2
10-DCC-102,09-DCC-10,1
10-DCC-102,09-DCC-24,1
10-DCC-105,09-DCC-14,1
10-DCC-105,09-DCC-25,1
10-DCC-105,10-DCC-39,1
10-DCC-106,09-DCC-04,1
10-DCC-106,09-DCC-06,1
10-DCC-106,09-DCC-10,1
10-DCC-106,09-DCC-24,1
10-DCC-107,09-DCC-31,1
10-DCC-107,09-DCC-37,5
10-DCC-107,09-DCC-38,6
10-DCC-107,09-DCC-42,5
10-DCC-107,09-DCC-67,3
10-DCC-107,09-DCC-90,8
10-DCC-107,09-DCC-91,3
10-DCC-108,09-DCC-04,2
10-DCC-108,09-DCC-06,3
10-DCC-108,09-DCC-10,3
10-DCC-108,09-DCC-24,1
10-DCC-108,10-DCC-58,1
10-DCC-109,09-DCC-04,1
10-DCC-109,09-DCC-06,1
10-DCC-109,09-DCC-10,1
10-DCC-109,09-DCC-24,1
10-DCC-110,09-DCC-48,2
10-DCC-110,09-DCC-67,1
10-DCC-110,10-DCC-21,2
10-DCC-110,10-DCC-60,2
10-DCC-111,09-DCC-04,1
10-DCC-111,09-DCC-06,1
10-DCC-111,09-DCC-10,1
10-DCC-111,09-DCC-24,1
10-DCC-111,10-DCC-09,1
10-DCC-111,10-DCC-19,1
10-DCC-112,09-DCC-16,4
10-DCC-112,10-DCC-13,1
10-DCC-113,09-DCC-26,1
10-DCC-113,10-DCC-42,3
10-DCC-113,10-DCC-86,1
10-DCC-116,09-DCC-16,9
10-DCC-118,09-DCC-04,1
10-DCC-118,09-DCC-06,1
10-DCC-118,09-DCC-10,1
10-DCC-118,09-DCC-24,1
10-DCC-119,09-DCC-67,1
10-DCC-119,09-DCC-67,11
10-DCC-119,10-DCC-110,1
10-DCC-12,09-DCC-04,1
10-DCC-12,09-DCC-06,1
10-DCC-12,09-DCC-24,1
10-DCC-120,09-DCC-04,1
10-DCC-120,09-DCC-06,1
10-DCC-120,09-DCC-10,1
10-DCC-120,09-DCC-24,1
10-DCC-120,10-DCC-12,1
10-DCC-121,09-DCC-04,2
10-DCC-121,09-DCC-06,3
10-DCC-121,09-DCC-10,3
10-DCC-121,09-DCC-24,1
10-DCC-121,10-DCC-58,1
10-DCC-122,09-DCC-67,1
10-DCC-122,09-DCC-67,11
10-DCC-122,10-DCC-110,1
10-DCC-122,10-DCC-119,1
10-DCC-123,09-DCC-04,2
10-DCC-123,09-DCC-06,2
10-DCC-123,09-DCC-10,2
10-DCC-123,09-DCC-24,2
10-DCC-125,09-DCC-04,1
10-DCC-125,09-DCC-06,1
10-DCC-125,09-DCC-10,1
10-DCC-125,09-DCC-24,1
10-DCC-127,09-DCC-39,2
10-DCC-127,10-DCC-68,1
10-DCC-128,09-DCC-16,3
10-DCC-128,09-DCC-29,1
10-DCC-128,09-DCC-72,1
10-DCC-128,10-DCC-48,1
10-DCC-129,09-DCC-72,2
10-DCC-13,09-DCC-16,2
